stop_id,stop_name,stop_lat,stop_lon
de:14730:17200,"Beilrode (b. Torgau), Abzweig Eulenau",51.562437,13.063491
de:14730:17201,"Beilrode (b. Torgau), Abzweig Graditz",51.566705,13.068764
de:14730:30511,"Beilrode (b. Torgau), Bahnhof (Bus)",51.571327,13.066464
de:14730:17202,"Beilrode (b. Torgau), Kirchweg",51.577430,13.069651
de:14730:17203,"Beilrode (b. Torgau), Schule",51.573954,13.069787
de:14730:17432,"Beilrode (b. Torgau), Zwethauer Str.",51.574825,13.065160
de:14730:22654,"Beilrode, Hort",51.575831,13.066766
de:14730:17207,"Belgern, Abzweig Puschwitz",51.470942,13.115160
de:14730:17209,"Belgern, Friedhof",51.485352,13.117899
de:14730:30094,"Belgern, Heinrich-Heine-Str.",51.475303,13.116734
de:14730:17204,"Belgern, Markt",51.483110,13.124625
de:14730:17206,"Belgern, Mühlberger Str.",51.475056,13.136484
de:14730:17205,"Belgern, Oschatzer Str.",51.479036,13.120801
de:14729:8011132,Belgershain,51.233947,12.542785
de:14729:16802,"Belgershain, Am Teich",51.235714,12.549576
de:14729:30215,"Belgershain, Hauptstr.",51.232559,12.547457
de:14729:30216,"Belgershain, Mittelweg",51.234280,12.552989
de:14729:30209,"Belgershain, Oberdorf",51.237650,12.551559
de:14729:16803,"Belgershain, Schule",51.234720,12.547681
de:15089:8011133,Belleben,51.673603,11.633376
de:15088:9648,"Benkendorf (Salzmünde), Quillschinaer Str.",51.515517,11.822341
de:15088:9650,"Benkendorf (Teutschenthal), Merseburger Str.",51.427803,11.917057
de:14730:11500,Benndorf (Delitzsch),51.553605,12.337491
de:14730:11501,"Benndorf (Delitzsch), Bundeswehr",51.558375,12.321483
de:14729:13089,"Benndorf (Frohburg), Wendeplatz",51.067969,12.536298
de:15088:9652,"Benndorf (Saalekreis), Am Teich",51.442208,12.095583
de:15084:4449,Benndorf (Spielberg),51.133991,11.626915
de:14729:8013362,Bennewitz,51.355926,12.708430
de:15088:9654,"Bennewitz (Kabelsketal), An der Reichsbahn",51.436804,12.097994
de:14522:80387,Bennewitz (b. Döbeln),51.179209,13.040279
de:14730:17210,Bennewitz (b. Torgau),51.511313,13.028003
de:14729:31078,"Bennewitz (b. Wurzen), Eschenring",51.362075,12.706765
de:14729:16804,"Bennewitz (b. Wurzen), Grimmaische Str.",51.359852,12.716081
de:14729:16805,"Bennewitz (b. Wurzen), Leipziger Str.",51.360587,12.714172
de:14729:16806,"Bennewitz (b. Wurzen), Leulitzer Str.",51.352712,12.704444
de:14729:30448,"Bennewitz (b. Wurzen), S-Bahnhof (Bus)",51.355771,12.709502
de:14729:16807,"Bennewitz (b. Wurzen), Schule",51.358113,12.712220
de:15088:9611,"Bennstedt (Salzatal), Abzweig B80",51.475555,11.823384
de:15088:22346,"Bennstedt (Salzatal), Bennstedter Str.",51.497161,11.825930
de:15088:2687,"Bennstedt (Salzatal), Eislebener Str.",51.484405,11.807156
de:15088:2686,"Bennstedt (Salzatal), Ortsmitte",51.481085,11.824101
de:15088:15577,"Bennstedt (Salzatal), Schule",51.479203,11.829441
de:15087:8011138,Bennungen,51.464006,11.122989
de:14522:60431,"Berbersdorf (Striegistal), Trafohaus",51.010680,13.188386
de:15087:8010032,Berga-Kelbra,51.452061,11.014813
de:15084:4143,Bergisdorf (Gutenborn),51.030275,12.118322
de:15084:4314,Bergwinkel (Thalwinkel),51.227037,11.610363
de:15091:8011150,Bergwitz,51.803696,12.576213
de:14729:16809,"Bernbruch (b. Grimma), Abzweig n. Kleinbardau",51.185180,12.665393
de:14729:16810,"Bernbruch (b. Grimma), Infotafel",51.182737,12.659862
de:15089:8010043,Bernburg Hbf,51.796120,11.751455
de:15089:8011605,Bernburg-Roschwitz,51.781100,11.759300
de:15089:8011169,Bernburg-Strenzfeld,51.819892,11.717645
de:15089:8011170,Bernburg-Waldau,51.805781,11.723312
de:14729:30626,"Berndorf (b. Pegau), Bürgerhaus",51.104122,12.331929
de:14729:12388,"Berndorf (b. Pegau), Gemeindeverwaltung",51.102766,12.331232
de:16061:8011172,Bernterode,51.405465,10.479945
de:14730:17211,Berntitz (Mügeln),51.251692,13.041939
de:14729:8010046,Beucha,51.323620,12.573133
de:14729:13448,Beucha (Bad Lausick),51.149813,12.585708
de:14729:20234,"Beucha (Bad Lausick), Abzweig Kleinbeucha",51.150208,12.586025
de:14729:30408,"Beucha (Brandis), Albert-Kuntz-Str.",51.316903,12.575033
de:14729:6672,"Beucha (Brandis), Am Tollertbruch",51.323699,12.582436
